SampleID,Target
FAV6-17OCT2018,FAV
FAV6-27MAR-2017,FAV
FAV6-29MAR2017,FAV
FAV6-30MAR2017,FAV
FAV6-4APR2017,FAV
FAV7-27MAR-2017,FAV
MAC1-02MAR2018,mysid
MAC1-04OCT2018,mysid
MAC1-07SEP2018,mysid
MAC1-09APR2018,mysid
MAC1-10APR2017,mysid
MAC1-11APR2017,mysid
MAC1-11APR2018,mysid
MAC1-11MAY2017,mysid
MAC1-12APR2017,mysid
MAC1-12APR2018,mysid
MAC1-12OCT2018,mysid
MAC1-12SEP2018,mysid
MAC1-13APR2017,mysid
MAC1-13APR2018,mysid
MAC1-13MAR2017,mysid
MAC1-13SEP2018,mysid
MAC1-14FEB2017,mysid
MAC1-14MAR2017,mysid
MAC1-14MAR2018,mysid
MAC1-15MAR2017,mysid
MAC1-15MAR2018,mysid
MAC1-15OCT2018,mysid
MAC1-17OCT2018,mysid
MAC1-18OCT2018,mysid
MAC1-18SEP2018,mysid
MAC1-19MAY2017,mysid
MAC1-19SEP2018,mysid
MAC1-1NOV2018,mysid
MAC1-22MAR2018,mysid
MAC1-23JAN2018,mysid
MAC1-23MAR2018,mysid
MAC1-23OCT2018,mysid
MAC1-27MAR2017,mysid
MAC1-27MAR2018,mysid
MAC1-29MAR2018,mysid
MAC1-2NOV2018,mysid
MAC1-30MAR2017,mysid
MAC1-3APR2017,mysid
MAC1-4APR2017,mysid
MAC1-5JUN2017,mysid
MAC1-5JUN2018,mysid
MAC1-5OCT2017,mysid
MAC1-609-10APR2018,mysid
MAC1-6APR2017,mysid
MAC1-6APR2018,mysid
MAC1-6JUN2017,mysid
MAC1-6JUN2018,mysid
MAC1-7MAY2018,mysid
MAC1-801-4JUN2018,mysid
MAC1-8MAY2017,mysid
MAC1-9MAR2018,mysid
MAC1-9MAY2017,mysid
MAC1-9OCT2018,mysid
MAC1B-13MAR2018,mysid
MAC1CS-9MAY2018,mysid
MAC1D-7JUN2017,mysid
MAC1-LHB-10MAY2018,mysid
MAC1-LHB-7JUN2018,mysid
MAC1S-10APR2018,mysid
MAC1S-13MAR2018,mysid
MAC1-S-9MAY2018,mysid
MAC1W-12MAR2018,mysid
MAC2-01NOV2018,mysid
MAC2-02MAR2018,mysid
MAC2-09APR2018,mysid
MAC2-10APR2017,mysid
MAC2-11APR2017,mysid
MAC2-11APR2018,mysid
MAC2-11MAY2017,mysid
MAC2-12APR2017,mysid
MAC2-13APR2017,mysid
MAC2-13APR2018,mysid
MAC2-13MAR2017,mysid
MAC2-14FEB2017,mysid
MAC2-14MAR2017,mysid
MAC2-14MAR2018,mysid
MAC2-15MAR2017,mysid
MAC2-15MAR2018,mysid
MAC2-15OCT2018,mysid
MAC2-17OCT2018,mysid
MAC2-19MAY2017,mysid
MAC2-22MAR2018,mysid
MAC2-23JAN2018,mysid
MAC2-23MAR2018,mysid
MAC2-26MAR2018,mysid
MAC2-27MAR2017,mysid
MAC2-27MAR2018,mysid
MAC2-29MAR2017,mysid
MAC2-29MAR2018,mysid
MAC2-30MAR2017,mysid
MAC2-3APR2017,mysid
MAC2-4APR2017,mysid
MAC2-5JUN2017,mysid
MAC2-5JUN2018,mysid
MAC2-5OCT2017,mysid
MAC2-6APR2017,mysid
MAC2-6JUN2017,mysid
MAC2-6JUN2018,mysid
MAC2-7JUN2017,mysid
MAC2-8MAY2017,mysid
MAC2-9MAY2017,mysid
MAC2-9OCT2018,mysid
MAC2B-13MAR2018,mysid
MAC2CS-9MAY2018,mysid
MAC2-D-10MAY2018,mysid
MAC2S-13MAR2018,mysid
MAC2W-12MAR2018,mysid
MAC3-01NOV2018,mysid
MAC3-02MAR2018,mysid
MAC3-09APR2018,mysid
MAC3-10APR2017,mysid
MAC3-11APR2017,mysid
MAC3-11APR2018,mysid
MAC3-11MAY2017,mysid
MAC3-12APR2017,mysid
MAC3-13APR2017,mysid
MAC3-13APR2018,mysid
MAC3-13MAR2017,mysid
MAC3-14FEB2017,mysid
MAC3-14MAR2018,mysid
MAC3-15MAR2017,mysid
MAC3-15MAR2018,mysid
MAC3-17OCT2018,mysid
MAC3-18APR2018,mysid
MAC3-19MAY2017,mysid
MAC3-22MAR2018,mysid
MAC3-23JAN2018,mysid
MAC3-23MAR2018,mysid
MAC3-27MAR2017,mysid
MAC3-27MAR2018,mysid
MAC3-29MAR2017,mysid
MAC3-29MAR2018,mysid
MAC3-30MAR2017,mysid
MAC3-4APR2017,mysid
MAC3-5JUN2017,mysid
MAC3-5JUN2018,mysid
MAC3-5OCT2017,mysid
MAC3-6APR2017,mysid
MAC3-6JUN2018,mysid
MAC3-7JUN2017,mysid
MAC3-8MAY2017,mysid
MAC3-9OCT2018,mysid
MAC3B-13MAR2018,mysid
MAC3CS-9MAY2018,mysid
MAC3-D-10MAY2018,mysid
MAC3S-13MAR2018,mysid
MAC3W-12MAR2018,mysid
MAC4-02MAR2018,mysid
MAC4-09APR2018,mysid
MAC4-10APR2017,mysid
MAC4-11APR2017,mysid
MAC4-11APR2018,mysid
MAC4-13APR2017,mysid
MAC4-13APR2018,mysid
MAC4-13Mar2017,mysid
MAC4-15MAR2018,mysid
MAC4-18APR2018,mysid
MAC4-22MAR2018,mysid
MAC4-23MAR2018,mysid
MAC4-27MAR2017,mysid
MAC4-27MAR2018,mysid
MAC4-29MAR2017,mysid
MAC4-29MAR2018,mysid
MAC4-30MAR2017,mysid
MAC4-3APR2017,mysid
MAC4-4APR2017,mysid
MAC4-5JUN2017,mysid
MAC4-6APR2017,mysid
MAC4-8MAY2017,mysid
MAC4B-13MAR2018,mysid
MAC4-D-10MAY2018,mysid
MAC4S-13MAR2018,mysid
MAC5-10APR2017,mysid
MAC5-11APR2017,mysid
MAC5-13MAR2018,mysid
MAC5-15MAR2018,mysid
MAC5-18APR2018,mysid
MAC5-22MAR2018,mysid
MAC5-23MAR2018,mysid
MAC5-27MAR2017,mysid
MAC5-27MAR2018,mysid
MAC5-29MAR2017,mysid
MAC5-29MAR2018,mysid
MAC5-30MAR2017,mysid
MAC5-3APR2017,mysid
MAC5-4APR2017,mysid
MAC5-5JUN2017,mysid
MAC5-8MAY2017,mysid
MAC6-10APR2017,mysid
MAC6-11APR2017,mysid
MAC6-15MAR2018,mysid
MAC6-18APR2018,mysid
MAC6-22MAR2018,mysid
MAC6-23MAR2018,mysid
MAC6-27MAR2017,mysid
MAC6-27MAR2018,mysid
MAC6-29MAR2017,mysid
MAC6-29MAR2018,mysid
MAC6-30MAR2017,mysid
MAC6-3APR2017,mysid
MAC7-10APR2017,mysid
MAC7-11APR2017,mysid
MAC7-30MAR2017,mysid
MAC801-1-12MAR2018,mysid
MAC801-2-12MAR2018,mysid
MAC801-3-12MAR2018,mysid
MAC801-4-12MAR2018,mysid
MYSID1-14feb2017,mysid
MYSID1-25jan2017,mysid
MYSID2-25JAN2017,mysid
NT10-09APR2018,neuston
NT1-02MAR2018,neuston
NT1-09APR2018,neuston
NT1-10APR2017,neuston
NT1-11APR2017,neuston
NT1-11APR2018,neuston
NT1-12APR2018,neuston
NT1-12MAR2018,neuston
NT1-13APR2017,neuston
NT1-13APR2018,neuston
NT1-14FEB2017,neuston
NT1-22MAR2018,neuston
NT1-23JAN2018,neuston
NT1-23MAR2018,neuston
NT1-27MAR2017,neuston
NT1-27MAR2018,neuston
NT1-29MAR2017,neuston
NT1-29MAR2018,neuston
NT1-30MAR2017,neuston
NT1-3APR2017,neuston
NT1-4APR2017,neuston
NT1-5JUN2018,neuston
NT1-6APR2017,neuston
NT1-7JUN2017,neuston
NT1B-13MAR2018,neuston
NT1S-13MAR2018,neuston
NT1W-12MAR2018,neuston
NT2-02MAR2018,neuston
NT2-09APR2018,neuston
NT2-10APR2017,neuston
NT2-11APR2017,neuston
NT2-12APR2018,neuston
NT2-12MAR2018,neuston
NT2-13APR2017,neuston
NT2-13APR2018,neuston
NT2-14FEB2017,neuston
NT2-22MAR2018,neuston
NT2-23JAN2018,neuston
NT2-23MAR2018,neuston
NT2-26MAR2018,neuston
NT2-27MAR2017,neuston
NT2-27MAR2018,neuston
NT2-29MAR2017,neuston
NT2-29MAR2018,neuston
NT2-30MAR2017,neuston
NT2-3APR2017,neuston
NT2-4APR2017,neuston
NT2-5JUN2018,neuston
NT2-6APR2017,neuston
NT2B-13MAR2018,neuston
NT3-02MAR2018,neuston
NT3-09APR2018,neuston
NT3-11APR2017,neuston
NT3-12APR2018,neuston
NT3-12MAR2018,neuston
NT3-13APR2017,neuston
NT3-13APR2018,neuston
NT3-14FEB2017,neuston
NT3-18APR2018,neuston
NT3-22MAR2018,neuston
NT3-23JAN2018,neuston
NT3-23MAR2018,neuston
NT3-27MAR2017,neuston
NT3-27MAR2018,neuston
NT3-29MAR2017,neuston
NT3-29MAR2018,neuston
NT3-30MAR2017,neuston
NT3-3APR2017,neuston
NT3-4APR2017,neuston
NT3-5JUN2018,neuston
NT3-6APR2017,neuston
NT3B-13MAR2018,neuston
NT3-D-10MAY2018,neuston
NT3S-13MAR2018,neuston
NT3W-12MAR2018,neuston
NT4-02MAR2018,neuston
NT4-09APR2018,neuston
NT4-10APR2017,neuston
NT4-11APR2017,neuston
NT4-12APR2018,neuston
NT4-12MAR2018,neuston
NT4-13APR2017,neuston
NT4-13APR2018,neuston
NT4-13MAR2018,neuston
NT4-18APR2018,neuston
NT4-22MAR2018,neuston
NT4-23MAR2018,neuston
NT4-27MAR2017,neuston
NT4-27MAR2018,neuston
NT4-29MAR2017,neuston
NT4-29MAR2018,neuston
NT4-30MAR2017,neuston
NT4-3APR2017,neuston
NT4-4APR2017,neuston
NT4-6APR2017,neuston
NT4-D-10MAY2018,neuston
NT4W-12MAR2018,neuston
NT5-09APR2018,neuston
NT5-10APR2017,neuston
NT5-11APR2017,neuston
NT5-12APR2018,neuston
NT5-13APR2018,neuston
NT5-22MAR2018,neuston
NT5-23MAR2018,neuston
NT5-27MAR2017,neuston
NT5-27MAR2018,neuston
NT5-29MAR2017,neuston
NT5-29MAR2018,neuston
NT5-30MAR2017,neuston
NT5-3APR2017,neuston
